comments,sentiments
Misleading content on Social Media can compel the consumer to sue the label in court,positive
It offers to learn beyond books and assignments and connects with students and professors from other colleges/Universities,positive
facebook has brought so much depression into my life,negative
I am wasting so much useful time on social media,negative
most people with decorated social lives on social media are actually lonely in real life,negative
this lie prevents you from having an actual life,negative
social media is one of the advancements of this century,positive
life on social media is so fast,positive
social media helps me share all my moments with all the people I love,positive
social media is the greatest marketing platform,positive
social media sells stories and brings negativelected matters to attention,positive
it gives too mch liberty to the youth,negative
it equally gives freedom of speech to all,positive
social media has substantialy reduced the degree of seperation of any two people,positive
social media promotes trolling,negative
it is very addictive,negative
social media has improved work effeciency by making people more connected,positive
it keeps you informed of the most recent trends,positive
nobody has secrets on social media,negative
social media makes cross gender mingling easier reslting in a lot of problems,negative
social media has made me lonlier,negative
social media has killed my productivity,negative
cross cultural mingling is an aspect of social media,positive
between all the misinformation we do not know what is real anymore,negative
there is no censorship on social media,negative
it can be very offensive,negative
our prayers can get negativelected with social media addiction,negative
social media is unhealthy for growth of children,negative
young minds can be corrupted with negative influence from social media,negative
you rarely get quality family time,negative
families can get negativelected with social media influence,negative
our long hauled social values are dying,negative
social media is one live place around the clock,positive
you are never alone when you have social media with you,positive
outdoor activities are becoming obsolete with every passing day,negative
it is easier to connect with friends through it,positive
people get great exposure from the diversity and richness of social media,positive
people display very undisciplined and immature attitude on social media,negative
social media is so chaotic and nobody is answerable since there is no authority,negative
social media needs better policies for protecting people,negative
in the age of social media there is so much more transparency,positive
it has become a very integral part of our lives in a very short time,positive
social media hosts fake and pretentious people,negative
everything these days has reduced to likes and popularity on social media,negative
distances have lost all meaning since the advent of video calls,positive
social media is a distraction form responsibilities,negative
social media is an effective platform of spreading awareness,positive
social media results in a lot of deception,negative
social media helps people to get heard,positive
people with good intentions promote religious awareness through this medium,positive
it is the cheapest and most effective method of publicity,positive
it promotes talents with easy audience and abundant feedback,positive
there is so much appreciation for talent on social media,positive
it makes people spend more time with harmful electronic devices,negative
it is the rival of outdoor activities,negative
people feel more involved and intimate with others by knowing so much about them,positive
it is easier to meet new people,positive
introverts can be more expressive and open with the use of social media,positive
social media is making it easier to find a motivation and market for your startups,positive
social media applications have made the concievers dirty rich,positive
people with thier addictions are making the social media bussiness very lucrative,positive
social media is providing employement to alot of people,positive
social media is providing anonimity to offense making it more convenient and dangerous,negative
people make irresponsible comments on social media,negative
cybercrime is becoming more common,negative
social media profiles are so vulnerable to hacking,negative
there are so many fake identities on social media,negative
vloging is making education easier,positive
vloging is the most popular knowledge sharing platform,positive
there is so much patronage for knowledge and skill sharing on social media,positive
vloging is the most popular organic and intimate method of communication on social media,positive
social media is making people lazier,negative
social media spreads depression,negative
there would not be as many secret relationships if not for social media,negative
social media profile gives a false impression of perfection that dissolves in real life leaving you with no sense of identity,negative
social media wastes your time more than it saves,negative
knowing too much about others fosters the feelings of jealousy,negative
people are never content living a flase social media life,negative
there is so much frustration corelated with the use of social media,negative
you find aspirations on social media,positive
while broadcasting a moment yo can not really live the moment,negative
social media got these niggas heads all messed up,negative
I should not be depressed over someones social media status most of them are not happy in reality,negative
social media helps people in anxiety or depression by providing them support and company,positive
social media life can sometimes get out of your hands,negative
chating on social media can result in life long friendships,positive
sometimes you can find more sensible and understanding people on social media compared to the people you have in your life,positive
social media helps reduce the lonliness of citizen who live far form their families,positive
social media can help seekers find a job,positive
social media is a huge drain of time,negative
it can get ugly if someone hacks your account,negative
people can hack and use your account to defame you,negative
you can share every detail of your life with all people,positive
social media sharing can keep you motivated in difficult tasks,positive
it can keep you commited in your endeveours through sharing and public attention,positive
social media can improve your mood,positive
too much knowledge of others lives can ruin your perfectly good mood and your tendency to stay happy,negative
you can ask for advice on social media,positive
you can vent your emotions on social media,positive
your questions and confusions can be answered by people,positive
social media can be helpful for studying,positive
you are aware of what is happening around you,positive
it is a great channel for showing your talents to the world,positive
social media is great for sharing your intersts with people who care,positive
it has made group study so much easier,positive
you are constantly learning new things on social media,positive
all knowledge on social media is not necesserily healthy,positive
you can earn through affiliate marketing on social media,positive
social media is good platform for making social plans,positive
it can save you form boredom,positive
it can lead kids astray,negative
people are always complaining on social media,negative
studies tend to get negativelected with social media addiction,negative
kids are getting worse grades while spending all time on social media,negative
the academic performance of social media using youth is degrading,negative
I have found stronger friendships on social media than in real life,positive
people are always interfering in problems that do not concern them,negative
easier to find mentors,positive
politics is worse on social media,negative
Social media is a curse,negative
It is very damaging to our social values,negative
knowledge eplosion is facilitated by social media,positive
Professional networking sites to find personnel and job seekers for find work,positive
Allert the people to know their activities,positive
Through this social media we can earn the money,positive
It effects very badly in our brain,negative
We can connect very easily with the people who are far away,positive
 It tell yourself you can do this,positive
 It help to focus on fitness,positive
 It teach to love yourself,positive
 It helps to set goals,positive
 It helps to rest and relax.,positive
 It make us smile,positive
 It shows positivity,positive
 It teach to enjoy life,positive
 It teach to care for others,positive
 It help to find crystal off externals,positive
 It covey toward illegal activities,positive
 it teach to eat right,positive
 it makes exercise of life,positive
 it helps in binding love,positive
 it show path to fliker,positive
 it is Spiral,negative
 it teach Style ,positive
 it show poison,negative
 it teachs social engineering,positive
 it gives life sharing experience,positive
 it proceeds to psychological mutation,negative
 it lead toward powering researcher,positive
 it teach essence of life,positive
 it lead us to focus on others life,negative
 internet is now black money transfer,negative
 it teach to be play boy,positive
 it lead toward trying to give pain to others,negative
 it lead to network gangs,negative
 it is now a blackmailing media,negative
it make proxy server to check personal life of others,negative
it is a time taking activities,negative
it shows ultra feed back of society,negative
it cause sleep sickness,negative
 it make lack of IQ ,negative
 it cause insonmia,negative
 it cause lack of interest in studies,negative
 it makes people take interest in vulgur activities,positive
 it cause hypersomia,negative
it is main cause of eyesight diseases,negative
 it cause farsightedness,negative
 it also causes nearsightedness,negative
 it makes interest in social activities,positive
 it help people to help needy and poor people,positive
 it lead to campaings for lack of food,negative
 it shows fund raising campaings about lack of water,negative
 it cause negativeativity in people,negative
 it cause interest in pornography,negative
 it makes face to face interaction with people,positive
 the post cannot be deleted,negative
 it promotes and commit crimes,negative
 it cause higher risk for anxiety and depresssion,negative
 it can endanger our millitary,negative
 it can be drain on time,positive
 it provide academic research,positive
 it can help disarm social stigmas,positive
 it can help  improve overall contagion effect,positive
 it allow people to attain goals,positive
 it increase participation of voters,positive
 it reduce loneliness of senior citizen,positive
 it increase facilities in political change,positive
 it allow quick diffusion of public health,positive
 it empower users to achieve positive change,positive
 to help prevent suicide,positive
 it can cause brain disorder,negative
 it may create an invasion of privacy,negative
 it can lead to sexting,negative
it can cause proliferation of personal images,negative
 it can cause self centered personalities,negative
 it can lead to revenge porn,negative
 it can endanger journalists,negative
 it can endager activists,negative
 its encourages us to become hopeful,positive
 it is cheap advertising,negative
 it is affordable advertising,negative
 media looking for jobs,positive
 it is active community,positive
 breaking news is happening,neutral
 it engages followers,neutral
it creates circles,positive
 it syncs to google products,positive
 conversation weird,negative
 it is measurable,positive
 it is specific,positive
it is realiable,positive
 it is tangible,positive
 produce a procast and vidcast,positive
 it join social networking site,positive
 be honest who is posting,positive
 provide offline contact information,positive
 potential to reach more people,positive
 it is digital compaign trail,positive
 it is more control over messages,positive
 it is very fastest technology,positive
 through this merchant use platform,positive
 it is mainstream,positive
 it is authentic,positive
 it is active,positive
 it discus resolution,positive
it is election tool,positive
 it changed the way we communiate,positive
 it sync smartphone,positive
 in SM it takes time,positive
 it is very supportive,positive
 controversial comments,positive
 online system is very useful,positive
 we can apply in any university for study,positive
 people can earn money using onile system business,positive
 it is very useful for students to understand the lectures,positive
 we can take care of others using this media,positive
 we can make video calls,positive
 it can help us in eduaction feild,positive
 social media has lot of benefits for students and teachers,positive
 we can get every kind of information using this media,positive
 it improves business reputation,positive
 it help us build communication,positive
 it helps government and security egencies,positive
 it promotes NGO's,positive
 it helps to find the solution of all problems,positive
 you can share your issues with the friends to get help and guidness,positive
 it also create awareness,positive
 it innovate to the way of people life,positive
 it hacks the personal information,negative
 it can hack privacy,negative
 it can make financial losses,negative
 it is multitasking,positive
 students are mentaly sick using this media,negative
 cheating issues are created,negative
 it effects badly in relationship,negative
 people make suicide,negative
 it causes death,negative
 people glamorise drugs and alcohols,negative
 making global village,positive
 it touches family and friends who are far away,positive
 children creates hypertension in their minds,negative
 we can easily buy things through online,positive
 internet making us materialistics in thoughts,positive
 internet is limiting creative,negative
 people are dependent and paralyzed,negative
 it is removing self dependency,negative
 it can make us possessive,negative
Advance connectivity,positive
Improvement of business,positive
No check and ballance in social media leads to youth destruction,negative
Irregular sentiments prevail in society,negative
People will aware about 360 all the time,positive
social media is used for marketing,positive
Social media impacts on political change,positive
Social media platforms can act as a great study tool,positive
Social media keeps upto-date with the current technology,positive
False news gets viral on social media,negative
Social media allows people to improve their relationships,positive
Social media can lead to stress,negative
the acces use Social media is waste of time,negative
The use of social media is correlated brain disorders,negative
Social media helps shy people connect with other people,positive
It helps advertising your brand,positive
Many sites allow users to create special pages for bands,positive
It keeps us updated,positive
It spreads misinformation,negative
Social media helps reduce loneliness of senior citizens,positive
These sites allow you to send and receive messages upload photos and videos,positive
people become lazy due to social media,negative
due to social medial affairs they are mentally disturb,negative
Social media can be a drain on time and use up hours that you can not get back,negative
Books  files and results can be shared in a common group of class,positive
The only where the informationis so fast than other,positive
 Brings the people with common interests together,positive
Blog about your opinions to express your self innon violent way,positive
Bikers doing the crazy stuntsnjumps over the trains and other life threatening stunts are shared on social media,negative
one can groom his or her self using social media,positive
Social media can also be used for the noble causes for example to promote an NGO  social welfare activities and donations for the needy people,positive
Social media can easily ruin someone s reputation just by creating a false story and spreading across the social media,negative
On a site like facebook or myspac you can challenge your friend to a game of trivia even if she s on the other side of the world,positive
A tool to express an individual s emotions,positive
They allow those who are shy or have trouble making friends to socialize more easily thats also true for those with disabilities,positive
Social networking sites are the top news source for 27.8% of americansranking below newspapers 28.8% and above radio 18.8% and print publications  6%,positive
It is a best platform to interact with other people,positive
People can share their thoughts with other people,positive
People can sort out their many problems on social media,positive
People having same interests can interact with each other,positive
People remain update with what is going on in the world,positive
Celebrities can share their pictures and upcoming events with their fans,positive
Students and professionals can share files with their colleagues and co-workers,positive
Groups on social media help to discuss on specific subject,positive
People can know the authenticated news about political leaders and celebrities from their verified accounts,positive
People find their source of entertainment through social media,positive
Social media encourages people to participate in voting,positive
Social media brings the political change,positive
Social media helps in reducing loneliness of those people who are lonely in their personal life,positive
Social media helps in spreading of public health and safety measures during crisis,positive
Many government departments use social media to help in reducing crime,positive
Social media can be proved dangerous for our military people by hacking their accounts,negative
Excessive use of social media causes mental disorders,negative
Students who use more social media have more chances to get lower grades,negative
Social media can put children at higher risk for depression and even suicide,negative
It is a wastage of time,negative
People get distraction during their work due to social media,negative
It is the main source of spreading un-authenticated news,negative
Most of the time it conveys wrong information to people,negative
It plays main role in spreading cybercrime,negative
Un-necessary conversations on political issues which lead to disputes,negative
People start to begin comparing their life with others life which leads to inferior complexity,negative
It increases the chances of leaking peoples personal data,negative
It destroys personal life of its users,negative
Frequently use of social media increases the use of electronic devices which is harmful to human health,negative
People become more informed about current affairs,positive
It helps teens with disabilities interact at the same level with others,positive
Teens with disabilities can become a target of hatred and shame by their fellows,negative
It leads to disclosing of confidential information,negative
It helps us in continuous learning about our interest,positive
Students can get involved in criminal activities if they do not avoid wrong people on social media,negative
Any wrong use of social media can harm our personal life,negative
Any wrong use can negatively affect our academic abilities and performance,negative
Young generation get their moral values destroyed,negative
Social media has brought revolution the business marketing and industry,positive
It allows interaction and sharing knowledge with professionals at any general or specific subject,positive
Professional websites provide facility to companies to advertise the vacancies and job offers,positive
Professional websites allows people to find jobs and work,positive
Criminals use social media to commit crimes,negative
Social media causes deaths by following the stunts and tricks shared on the internet,negative
People start to be inspired by rich drug addicts and criminals and follow them,negative
Important information can spread on social websites within some seconds,positive
People post inappropriate pictures on social media,negative
Low marketing is possible through social networks,positive
It helps in increasing people's confidence,positive
It is the main source of spreading rumors,negative
Social media spreads awareness about daily life of people,positive
It chnages the way people live,positive
Students can learn from the content published on educational websites,positive
Most of the brands get name in the industry through their social networks,positive
Police departments are starting to investigate and control crimes on social media networks,positive
Social media allows people to express voice regarding their politics views,positive
Secret agencies get help in finding secrets,positive
People are able to contact with friends and relatives from other countries,positive
It decreases the power of learning and understanding,negative
Social media use can cause personality disorders mainly in young people,negative
It is easier to access information and spread it through social media,positive
Social media promotes the building relationships for students with other students of different universities,positive
Young generation is the one who is most affected by addiction and harmness of social media,negative
Many people get fooled by wrong people on social media,negative
Many news are spread over social media in a wrong meaning,negative
Social media can destroy someones personal life by creating and spreading the fake news about him/her,negative
Social websites make it easy to search and buy any thing online,positive
Businesses can get down in market due to fake news about it conveyed over social media,negative
Social media can convey the wrong message between people,negative
Social media facilitates the people with wrong activities which can lead them to jail,negative
People lose face to face connection with their friends,negative
It can convey wrong meaning of feelings,negative
Social media provides the facilities for employment,positive
Social media is one of the biggest factor which causes depression amongest people,negative
Children get poor growth both physically and mentally due to use of internet and social media,negative
Sleeping time of people is greatly affected due to social media,negative
People waste their time on social media which they have to spend in studying and physical activities,negative
Social websites are used to promote brands,positive
Social media can help in reducing people's depression and loneliness,positive
It reduces closeness and emotional connection between family,negative
People detach themselves from family and friends,negative
Students can learn the whole course online by contacting with professors on social websites,positive
People get obsessed with social media activities and people on them,negative
Social media promotes conversations and debates among people,positive
It allows people specially students to access the educational resources,positive
Social media sites help in improving overall life style by providing people with a social club,positive
People are now able to carry out researches on a particular topic and then publish it in the logs,positive
Students can enhance their knowledge by reading articles written by professors,positive
Social media has greatly succeeded in disconnecting people from each other,negative
People can plan their trips and invite people from the whole country through social media,positive
Misleading  and wrong content on social media can bring the people to crimial charges,negative
People can also got famous by spreading fake personality of them on social networks,negative
Spreading the false news on social media is also a great risk,negative
People can become the target of people's jokes and hatred,negative
There are many social websites that make it possible to connect the people from different subject of interest,positive
Social websites of NGOs make people inspired to donate and helpe the needy people,positive
Professionals can run their business or companies online through their social websites and networks,positive
Posting inappropriate pictures,negative
Posting inappropriate status,negative
source of interaction with new people,positive
very useful in getting knowledge,positive
blackmailing through social media is very common,negative
people uses social media in negative perspective ,negative
too time consuming,negative
social media makes the world global village,positive
you can raise voice for justice through social media,positive
social media is the cheap source of communication,positive
spreads fake news,negative
helpful to disseminate the news very fast,positive
information on social media are not reliable,negative
you can get a lot of useful information through social media,positive
can be easily accessibe by everyone,positive
free to use,positive
addictive like an alcohol,negative
facilitate cyber-bullying,negative
provide access to educational opportunities,positive
exposes internal affairs,negative
useful in group discussion,positive
helpul in clarifying concepts about certain topic,positive
ruining life through stalking,negative
interactive platform for internet users,positive
source of online harassment for teens,negative
social media can influence suicidal behaviour,negative
provides a place where people are able to receive support during challenging times,positive
makes easy to find people with common intrests,positive
on social media we may interact with people that we don’t want to,negative
help grow your bussiness through marketing,positive
provides opportunity to grow relationship with your audience for bussiness,positive
increase anxiety among users,negative
great way to keep up with friends,positive
helps in remembering personal experiences,positive
cyber crimes increases through social media,negative
entertainment source by play online games,positive
helps improve your cooking skills by joining renowned chef pages,positive
shaping public opinion,positive
hurt your self esteem,negative
reduces face to face interaction,negative
decrease the usage of language skills,negative
helps to finding online jobs,positive
people promote their profession brands by posting on social media sites,positive
promotes violance,negative
encourage customers to voice their thoughts,positive
bad for psycholigical health,negative
make us unsocial,negative
forum for support during crisis,positive
valuable aid for crime solving,positive
given true vioce to people,positive
influence the outcomes of potential decisions,negative
best way to connect across vast distances,positive
helps people to know more about you without meeting you,positive
helps in making online events and forums,positive
social media helps getting to know whats new and trending,positive
conveys inauthentic expression of feeling,negative
creates lazziness among people,negative
reduces family closeness,negative
helps in education without paying for it,positive
helps in finding missing people,positive
social media helps in builiding relationships with customers,positive
social media can easily ruin someone's reputation by spreading rumors all over social sites,negative
decreases outdoor activities of children,negative
distracts students from their career,negative
waste a lot of time of students,negative
you become updated about current issues,positive
helps students to find scolarships,positive
prove beneficial in group projects,positive
decreses our sleeping hours,negative
personal data can easily be hacked through social media,negative
on social media couples have cheated each other by showing fake feelings,negative
creates awareness and innovate the way people live,positive
improves bussiness sales and reputation,positive
helps in bulilding communities of own religion,positive
helps to gain islam related knowledge by following respected islamic scholars,positive
increases fraud rate and scams,negative
used to send information to others,positive
you can easily access books that are not easily available,positive
makes your personality viral in between high profile people,positive
makes easy to follow right people at right time,positive
provides you to make bussiness deals easily,positive
give opportunity to get maximum trust from your clients with video conferencing calling,positive
social media sites has a lot of fake accounts to share spammy content,negative
promotes open communication,positive
some social media sites are too complex to use,negative
someone can  personally attacked you by criticising  you,negative
helps gathering feedback from customers,positive
bad comments reflects badly on your bussiness,negative
provide access to connect with many famous stars and celebrities,positive
performs surveys to collect information,positive
brings people with common intrests together,positive
sometimes post inappropriate stuff/pictures,negative
allows users to exchange ideas,positive
promotes vulnerability,negative
being used as a way to hurt people,negative
creates skewed self image and develops something we are not,negative
helps to track criminals,positive
improves person's overall quality of life,negative
give people the chance to raise their voice on important issues,positive
divides a person's attention from other tasks,negative
source of spreading false information about an incident,negative
wastes an enormous amount of time,negative
exposes people to potentially dangerous situations,negative
great way of entertainment after a busy life routine,positive
make easy to organize an event and invite friends,positive
you can blog about your opinions to express yourself in a non-violent way,positive
maintains simple and easy interaction among people,positive
easily accessible for free and anytime,positive
helps students to share their academic achievements,positive
encourages students,positive
increase brand recognition by advertising,positive
creates political awareness among people,positive
produces disturbance in your life,negative
helps us to get updated to new fashion trends,positive
cheap advertisement source,positive
helps students to choose their college or university,positive
engage the followers,positive
decreases face to face communication skills,negative
conveys inauthentic information,negative
a tool to express individual feeling,positive
lacks privacy,negative
destroys marriages by providing covert connections with others,negative
affects marital life,negative
become the source of spreading viruses,negative
provide hackers the opportunity to steal and misuse personal information,negative
eables the spread of unreliable and false information,negative
stuedents who are heavy social media uers tend to have ow grades,negative
promotes envy and greed among people,negative
increases crime rate among teens,negative
spread information faster,positive
hepls to track down thieves,positive
allows people to improve their relationship,positive
boost stress,negative
empower bussiness women,positive
improve the quality of life,positive
facilitates face to face interaction through video calling,positive
increases voters participation,positive
facilitates political change,positive
used by criminals to promote and commit crimes,negative
empowers individual to make social change,positive
enables sexting which can lead to criminal charges,negative
helps people who are socially isolated and shy to connect with other people,positive
aid the spread of hate groups,negative
provides academic research to awider audience,positive
allows people acccess to previously unavailable educational resources,positive
facilitates inappropriate student teacher realationship,negative
provides student a platform to collaborate with teachers of international universities,positive
offer the way for musicians and artists to build audience,positive
rapid source of communication during crisis event,positive
users are vulnerable to security attacks such as hacking,negative
bring the good change among people through social media campaigns,positive
a low cost effective tool for researchers & educationists,positive
blog posts  ebooks and web content etc helps publicizing our content to a mass audience,positive
provides freedom to the people the way they want to use it,positive
addictive behavior towards use of social media may put health issues,negative
"social media is more vulnerable to misinterpreting your intentions towards an issue	",negative
might not prove a valid source of information,negative
leading to emotional and psychologiacal problems,positive
caused too much distance in a family interactions,negative
a source of great awareness,positive
helped in spending spare time in a healthy fashion by instead of gossiping around generally people and utilize that time here,negative
spread unauthorized and unauthetic data within few minutes causing trouble at state level,negative
a reason to spread rumours,negative
great way to showcase your portfolio,positive
created lots of competition and comparison due to interaction among diffrent classes,positive
a great source of healthy interactions with variety of people,positive
With so much  sharing going on issues over privacy will always be a big concern,negative
Personal information sharing geographical location checking  in with their exact location on social media and tagging the location  where they work & live,negative
Predators can obtain this information & easily identify where they can find you at any given time,negative
Facebook is creating anxiety among people,negative
It is useless because it is not secured,negative
you can pick and  choose those individuals who has similar  likes and dislikes,positive
People can be harassed for 24*7 and it can be done anonymously,negative
Most thieves need just a few key pieces of your  personal information to create a false identity,negative
high chance of  someone stealing your private information photos & use it  against you,negative
Without verification of someones identity one  could befriend a complete stranger & not even know it,negative
Staying up to date with what is going on in the world,positive
It is social media development that we have a Google map,positive
People can take advantage because everything is being performed behind a  screen which makes it easier to make fun of someone,positive
Utilize in term meetings for conference organizers,positive
its a channel used for customer service business intelligence news messaging help and so much more,positive
Healthy and productive interaction of people has diminished due to excessive use of social media,negative
An increased level of alcohol consumption and risky behaviour has been observed among social media users,negative 
Social media users can disclose personal information of others on public forums,negative
social media has destroyed our chopal system,negative
The available information is not authentic,negative
Time is wasted due to social media,negative
social media is mean of communication,positive
One can find friends on facebook,positive
one can share files on facebook,positive
On Twitter one can give its openion by tweet,"positive														"
There are errors in the Codes available on social media,negative
people can easily mention there problems,positive
One can update its status on facebook,positive
Facebook acounts can be Hacked,negative
Twiter is enforcing govt to right direction,positive
Social media make the world global village,positive
Vedio calls now can be done by social media,positive
socail media may lead the young generation towards wrong way,negative
Social media can help in study by study groups,positive
Advertisement of products can be done by social media,positive
Products can be sell on social media,positive
social media is not properly monitored,negative
social media is key factor of entertainment,positive
it has become quite easy for anyone to bully on the Internet,negative
The addictive part of the social media is very bad and can disturb personal lives as well,negative
The first and main advantage of the social media is connectivity,positive
people follow others who are wealthy or drug addicted and share their views and videos on the web,negative
social media is helping students and teachers,positive
Social Media causes deathNot just by using it,negative
You can share your issues with the community to get help and giuddlines,positive
The excess usage of social media can also have a negative impact on the health,negative
you canpromote your business to the largest audience,positive
Most of the people have used the social media platform to propose and marry each other,positive
Social media can also be used for the noble causes,positive
Social media also create awareness and innovate the way people live,positive
Several examples are available where individuals have scammed and commit fraud through the social media,negative
It is also one of the advantages of the social media that it helps Governments and Security Agencies to spy andcatch criminals to fight crime,positive
Social media helps in building and participating in the community of own religion and believes to discuss and learn about it,positive
against islamic data is hurting muslims,negative
facebook is not useful,negative
facebook is bad,negative
facebook is usefull,positive
On fb one can run a movement,positive
fb account can be fake,negative
I love youtube,positive
I hate fb,negative
find new friends via fb,positive
all depends on situation,positive
it may make someone hopeless,negative
social media does not injure anyone,positive
does more bad,negative
social media injured by challenging someone,negative
threads can be given by fb,negative
job search,positive
social media is harmfull for society more,negative
negativeitivity can spread through it,negative
social media helps to raise society problems,positive
it make world global village,positive
fake accounts,negative
bad news are being spread by it,negative
fb is not financially usefull financially,negative
spread thoughts by fb,positive
spread negative thougts,negative
convey message,positive
convey bad message,negative
improve knowledge,positive
interact new people by fb,negative
why people use it more time,negative
I hate time wasting by it,positive
I love to use fb in free,positive
I love share files by fb,positive
twitter is used by uper calss,negative
twitter war is bad,negative
twitter discussion is good,positive
taking views of people,negative
depression can done by fb,negative
controls mind towards wrong way,positive
raise your voice by social media,negative
cause destruction,negative
The US military and the Department of Veterans Affairs use social media to help prevent suicide,positive
Social media can exacerbate feelings of disconnect and put children at higher risk for anxiety depression low self-esteam eating disorders and even suicide,negative
Social media use can cause personality and brain disorders and self-centered personalities particularly in youth,negative
we can use all social media apps on our iPads tablets,positive
Youtube is Own channel thats why i like to use Youtube,positive
we cannot access directily,negative
The main purpose of social media is to be able to stay connected to friends and families in today's fast paced and ever changing worlds,positive
You are able to rekindle old friendships share family photos and special events in your life with just about everyone you know at the same time,positive
Just like stated above anything can spread to millions of people within hours or days on social media,negative
This also unfortunately includes things that are false or made up,negative
Online social interactions with social networking have not only been starting new relationships but ending many others,negative
This new temptation has been driving wedges into peoples real life offline relationships often time ending them for good,negative
Companies artists and musicians can reach an impossibly large and diverse amount of people using social media sites,positive
it depends on us that how we use and how is our thinking,neutral
by social media we collect more information,positive
social media also have bad effect,negative
somehow efficient but as a student waste of time,negative
if we use the social media for +ve way like education,positive
har cheez ki two effect hoty hn. 1 to ye k thek ha information k lye or sahulat k lye but ziada istmal parhney se door krta ha,neutral
sometimes it is very informative but some times it give fake news. but it is best for me,positive
wastage of time but a way to communicate others,negative
social media is white elephant. its good but mostly not,negative
social media is the way for negative communication. The one positive effect is that we can raise a matter,neutral
it is best source of information,positive
it is good way of communication and it connects people,positive
social MEDIA is beneficial for the studen and it is lerning opportunity,positive
it gives good references,positive
soical media is good,positive
some time family memebers sit together and they don't talk to each other they are all busy to use social media,negative
ye family members k darmyan doorian barhata ha,negative
it is total wastge of time,negative
get inspired from different people interaction and work with different people current affairs updata,positive
knoledge growth every one comments each other and shareing knowledge,positive
it is the source of entertainment,positive
it helps us in informing our knowledge,positive
it is most powerful source of communication,positive
social medida is a bad effect on our lives because that much of our time is wassted in this way,negative
it basically depends on mentality of a man. if he wants to use social media for beneficial purpose then he can get much advantage form it,positive
social media gives help for studying at any field. but it has  also very bad effects on kids,neutral
social media is wasting our times bcz if is used at every time and use could no t give propero time to studies and work but is also beneficial,neutral
it has lot of advantages. but it has wastage of time for students. people spent most of their time in social media,neutral
they do not give time to their family and special parents,negative
social media is very very important of your life for example wechat is very important in your life,positive
social media is a good thing but is is a way of time wastage and it also ipact bad effect on new generation,neutral
It tell yourself you can do this,positive
It help to focus on fitness,positive
It teach to love yourself,positive
It helps to set goals,positive
It helps to rest and relax.,positive
It make us smile,positive
It shows positivity,positive
It teach to enjoy life,positive
It teach to care for others,positive
It help to find crystal off externals,positive
It covey toward illegal activities,negative
it makes exercise of life,positive
it helps in binding love,positive
it show path to fliker,positive
it is Spiral,negative
it teach Style ,positive
it show poison,negative
it teachs social engineering,positive
it gives life sharing experience,positive
it proceeds to psychological mutation,negative
it lead toward powering researcher,positive
it teach essence of life,positive
it lead us to focus on others life,negative
internet is now black money transfer,negative
it teach to be play boy,positive
it lead toward trying to give pain to others,negative
it lead to network gangs,negative
it is now a blackmailing media,negative
it make lack of IQ ,negative
it cause insonmia,negative
it cause lack of interest in studies,negative
it makes people take interest in vulgur activities,positive
it cause hypersomia,negative
it also causes nearsightedness,negative
it makes interest in social activities,positive
it help people to help needy and poor people,positive
it lead to campaings for lack of food,negative
it shows fund raising campaings about lack of water,negative
it cause negativeativity in people,negative
it cause interest in pornography,negative
it makes face to face interaction with people,positive
the post cannot be deleted,negative
